"","X","Bird","Recording","Channel","Cluster","Location.y","ID"
"397",331,"P75","p3r2",13,60,"L3","P75_p3r2_ch13_c60"
"398",341,"P75","p1r2",18,24,"L1","P75_p1r2_ch18_c24"
"399",343,"P75","p3r2",11,35,"L3","P75_p3r2_ch11_c35"
"400",352,"P75","p1r3",5,68,"NCM","P75_p1r3_ch5_c68"
"401",356,"P75","p3r2",11,34,"L3","P75_p3r2_ch11_c34"
"402",372,"P75","p1r3",4,39,"NCM","P75_p1r3_ch4_c39"
"403",386,"P75","p3r2",14,31,"L2a","P75_p3r2_ch14_c31"
"404",392,"P75","p1r1",23,17,"CM","P75_p1r1_ch23_c17"
"405",405,"P75","p3r2",6,42,"L2a","P75_p3r2_ch6_c42"
"406",406,"P75","p1r1",24,5,"CM","P75_p1r1_ch24_c5"
"407",407,"P75","p1r1",26,25,"CM","P75_p1r1_ch26_c25"
