,Bird,Recording,Channel,Cluster,Lateral,Depth,Hemisphere,DepthCorr,LateralCorr,Amplitude,Location
364,P75,p2r1,14,42,1512,-3927,L,-3327,-1312,148.3111569,L3
365,P75,p2r1,14,44,1512,-3927,L,-3327,-1312,148.3111569,L3
366,P75,p2r1,15,78,1512,-3927,L,-3727,-912,133.8454449,NCM
367,P75,p2r1,20,26,1512,-3927,L,-3527,-1712,118.8829434,NCM
368,P75,p3r1,1,59,1609,-2105,R,-2105,1409,120.2273428,L1
369,P75,p3r1,3,40,1609,-2105,R,-1705,1409,111.3058561,CM
370,P75,p3r1,8,52,1609,-2105,R,-1805,1409,47.33495782,CM
371,P75,p3r1,12,50,1609,-2105,R,-1505,1009,52.64466195,CM
372,P75,p3r1,15,62,1609,-2105,R,-1905,1009,97.29276518,L1
373,P75,p3r1,16,33,1609,-2105,R,-1905,1409,153.1742134,L1
374,P75,p3r1,24,4,1609,-2105,R,-1905,1809,53.98791444,L1
375,P75,p3r1,25,13,1609,-2105,R,-1505,1809,130.2316583,CM
376,P75,p3r2,2,53,1609,-3954,R,-3854,1409,239.7431924,NCM
377,P75,p3r2,4,30,1609,-3954,R,-3854,1009,166.3187643,NCM
378,P75,p3r2,6,42,1609,-3954,R,-3254,1009,119.3406741,L2a
379,P75,p3r2,6,43,1609,-3954,R,-3254,1009,119.3406741,L2a
380,P75,p3r2,6,44,1609,-3954,R,-3254,1009,119.3406741,L2a
381,P75,p3r2,10,47,1609,-3954,R,-3454,1409,182.8451044,L3
382,P75,p3r2,11,34,1609,-3954,R,-3554,1009,221.1976809,L3
383,P75,p3r2,11,35,1609,-3954,R,-3554,1009,221.1976809,L3
384,P75,p3r2,13,59,1609,-3954,R,-3454,1009,320.4122009,L3
385,P75,p3r2,13,60,1609,-3954,R,-3454,1009,320.4122009,L3
386,P75,p3r2,14,31,1609,-3954,R,-3354,1409,149.3738027,L2a
387,P75,p3r2,16,27,1609,-3954,R,-3754,1409,129.384482,NCM
388,P75,p3r2,19,4,1609,-3954,R,-3454,1809,252.2030366,L2a
389,P75,p3r2,22,15,1609,-3954,R,-3554,2209,318.6400745,L3
